city,link,city_link,track_id,crossed,nearby_count_beginning,nearby_count_whole,risky_crossing,run_red_light,crosswalk_use_or_not,gender,age,phone_using,walking_speed_mps,crossing_speed_mps,decision_delay_s,backpack,umbrella,handbag,suitcase,short_sleeved_shirt,long_sleeved_shirt,short_sleeved_outwear,long_sleeved_outwear,vest,sling,shorts,trousers,skirt,short_sleeved_dress,long_sleeved_dress,vest_dress,sling_dress,weather,daytime,police_car,arrow_board,cones,accident,crack,potholes,avg_vehicle_total,crossing_sign,avg_road_width,crosswalk,sidewalk,ambulance,army vehicle,auto rickshaw,bicycle,bus,car,garbagevan,human hauler,human,hauler,minibus,minivan,motorbike,pickup,policecar,rickshaw,scooter,suv,taxi,three wheelers -CNG-,truck,van,wheelbarrow,state,country,iso3,continent,lat,lon,gmp,population_city,population_country,traffic_mortality,literacy_rate,avg_height,med_age,gini
Brisbane,9pPBmcKvFOc,Brisbane_9pPBmcKvFOc,3368,True,4,3,1,0,0,male,30.0,0,0.079,0.01,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,shine,Day,0,0,0,0,1,0,1.6,0,1.426,0,1,0,0,0,0,0,1,0,0,,,0,0,0,0,0,0,0,1,0,0,0,0,0,,Australia,AUS,Oceania,-27.468968,153.023499,177.0,2582007.0,25687041.0,4.9,99.0,171.7,37.9,34.3
Brisbane,9pPBmcKvFOc,Brisbane_9pPBmcKvFOc,3540,True,0,0,1,0,0,male,31.0,0,4.001,3.337,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sunrise,Day,0,0,0,0,0,0,1.3333333333333333,0,1.4599999999999995,0,1,0,0,0,0,0,1,0,0,,,0,0,0,0,0,0,0,1,0,0,0,0,0,,Australia,AUS,Oceania,-27.468968,153.023499,177.0,2582007.0,25687041.0,4.9,99.0,171.7,37.9,34.3
Brisbane,9pPBmcKvFOc,Brisbane_9pPBmcKvFOc,3709,True,0,0,1,0,0,,,0,2.114,1.499,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,shine,Day,0,0,0,0,1,0,0.5,0,1.8875,0,1,0,0,0,0,0,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,Australia,AUS,Oceania,-27.468968,153.023499,177.0,2582007.0,25687041.0,4.9,99.0,171.7,37.9,34.3
Brisbane,9pPBmcKvFOc,Brisbane_9pPBmcKvFOc,3884,True,1,2,1,1,0,male,43.0,0,1.087,0.814,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sunrise,Day,0,0,0,0,0,0,2.5,0,2.16,0,1,0,0,0,0,0,1,0,0,,,0,0,0,0,0,0,0,1,0,0,0,0,0,,Australia,AUS,Oceania,-27.468968,153.023499,177.0,2582007.0,25687041.0,4.9,99.0,171.7,37.9,34.3
Brisbane,9pPBmcKvFOc,Brisbane_9pPBmcKvFOc,3935,True,6,5,0,0,0,male,30.0,0,1.014,1.238,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,rain,Day,0,0,0,0,0,0,2.5,0,1.905,0,1,0,0,0,0,0,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,Australia,AUS,Oceania,-27.468968,153.023499,177.0,2582007.0,25687041.0,4.9,99.0,171.7,37.9,34.3
Brisbane,9pPBmcKvFOc,Brisbane_9pPBmcKvFOc,4013,True,1,2,0,0,0,,,1,0.566,0.578,0.0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,rain,Day,0,0,0,0,0,0,2.75,0,1.9925,0,1,0,0,0,0,0,1,0,0,,,0,1,0,0,0,0,0,1,0,0,0,0,0,,Australia,AUS,Oceania,-27.468968,153.023499,177.0,2582007.0,25687041.0,4.9,99.0,171.7,37.9,34.3
Brisbane,9pPBmcKvFOc,Brisbane_9pPBmcKvFOc,4344,True,3,3,1,0,0,,,0,2.622,1.72,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sunrise,Day,0,0,0,0,1,0,3.5,0,2.055,0,1,0,0,0,0,0,1,0,0,,,0,0,0,0,0,0,0,1,0,0,0,0,0,,Australia,AUS,Oceania,-27.468968,153.023499,177.0,2582007.0,25687041.0,4.9,99.0,171.7,37.9,34.3
Brisbane,9pPBmcKvFOc,Brisbane_9pPBmcKvFOc,4626,True,2,4,0,0,0,,,0,1.685,1.462,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rain,Day,0,0,0,0,1,0,2.0,0,2.033333333333333,0,1,0,0,0,0,0,1,0,0,,,0,0,1,0,0,1,0,0,0,0,0,0,0,,Australia,AUS,Oceania,-27.468968,153.023499,177.0,2582007.0,25687041.0,4.9,99.0,171.7,37.9,34.3
Brisbane,9pPBmcKvFOc,Brisbane_9pPBmcKvFOc,4667,True,3,2,0,0,0,male,44.0,0,1.392,1.391,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rain,Day,0,0,0,0,1,0,1.6666666666666667,0,2.026666666666667,0,1,0,0,0,0,0,1,0,0,,,0,0,1,0,0,1,0,0,0,0,0,0,0,,Australia,AUS,Oceania,-27.468968,153.023499,177.0,2582007.0,25687041.0,4.9,99.0,171.7,37.9,34.3
Brisbane,9pPBmcKvFOc,Brisbane_9pPBmcKvFOc,4681,True,5,4,0,0,0,male,34.0,0,1.335,1.381,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rain,Day,0,0,0,0,1,0,1.8,0,2.034,0,1,0,0,0,0,0,1,0,0,,,0,0,1,0,0,1,0,0,0,0,0,0,0,,Australia,AUS,Oceania,-27.468968,153.023499,177.0,2582007.0,25687041.0,4.9,99.0,171.7,37.9,34.3
Brisbane,9pPBmcKvFOc,Brisbane_9pPBmcKvFOc,4701,True,1,1,0,0,0,male,35.0,0,1.36,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rain,Day,0,0,0,0,1,0,2.0,0,2.04,0,1,0,0,0,0,0,1,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,,Australia,AUS,Oceania,-27.468968,153.023499,177.0,2582007.0,25687041.0,4.9,99.0,171.7,37.9,34.3
Brisbane,9pPBmcKvFOc,Brisbane_9pPBmcKvFOc,4786,True,3,3,0,0,0,female,28.0,0,1.241,1.219,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rain,Day,0,0,0,0,1,0,2.0,0,2.02,0,1,0,0,0,0,0,1,0,0,,,0,0,1,0,0,1,0,0,0,0,0,0,0,,Australia,AUS,Oceania,-27.468968,153.023499,177.0,2582007.0,25687041.0,4.9,99.0,171.7,37.9,34.3
Brisbane,9pPBmcKvFOc,Brisbane_9pPBmcKvFOc,4833,True,0,0,0,0,0,male,28.0,0,2.242,1.854,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rain,Day,0,0,0,0,0,0,2.0,0,2.0,0,1,0,0,0,0,0,1,0,0,,,0,0,1,0,0,1,0,0,0,0,0,0,0,,Australia,AUS,Oceania,-27.468968,153.023499,177.0,2582007.0,25687041.0,4.9,99.0,171.7,37.9,34.3
Brisbane,9pPBmcKvFOc,Brisbane_9pPBmcKvFOc,4902,True,1,1,0,0,0,male,26.0,0,2.846,2.282,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rain,Day,0,0,0,0,1,0,3.75,0,2.055,0,1,0,0,0,0,0,1,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,,Australia,AUS,Oceania,-27.468968,153.023499,177.0,2582007.0,25687041.0,4.9,99.0,171.7,37.9,34.3
Brisbane,9pPBmcKvFOc,Brisbane_9pPBmcKvFOc,5747,True,1,1,1,0,0,,,0,2.089,1.191,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rain,Day,0,0,0,0,0,0,2.0,0,1.9066666666666665,0,1,0,0,0,0,1,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,Australia,AUS,Oceania,-27.468968,153.023499,177.0,2582007.0,25687041.0,4.9,99.0,171.7,37.9,34.3
Brisbane,9pPBmcKvFOc,Brisbane_9pPBmcKvFOc,6130,True,0,0,1,1,0,,,0,1.236,1.13,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sunrise,Day,0,0,0,0,0,0,2.6666666666666665,0,1.6133333333333333,0,1,0,0,0,0,0,1,0,0,,,0,0,1,1,0,0,0,0,0,0,0,0,0,,Australia,AUS,Oceania,-27.468968,153.023499,177.0,2582007.0,25687041.0,4.9,99.0,171.7,37.9,34.3
Brisbane,9pPBmcKvFOc,Brisbane_9pPBmcKvFOc,6168,True,1,1,0,0,0,female,29.0,0,1.224,1.22,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rain,Day,0,0,0,0,0,0,1.6666666666666667,0,1.9,0,1,0,0,0,0,0,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,Australia,AUS,Oceania,-27.468968,153.023499,177.0,2582007.0,25687041.0,4.9,99.0,171.7,37.9,34.3
